"samplename"	"platform"	"label"	"obervations"	"batch"	"bigfamily"	"family"	"celltype"	"coarsegrain"	"finegrain"	"treatment"
"ERR1018689"	"ERR1018689"	"Illumina Genome Analyzer IIx"	"colon cancer"	"HCT116"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR208903"	"ERR208903"	"Illumina Genome Analyzer IIx"	"colon cancer"	"HCT15"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR208904"	"ERR208904"	"Illumina Genome Analyzer IIx"	"colon cancer"	"HT29"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR208905"	"ERR208905"	"Illumina Genome Analyzer IIx"	"colon cancer"	"LS1034"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR208906"	"ERR208906"	"Illumina Genome Analyzer IIx"	"colon cancer"	"RKO"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR208907"	"ERR208907"	"Illumina Genome Analyzer IIx"	"colon cancer"	"SW48"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR208908"	"ERR208908"	"Illumina Genome Analyzer IIx"	"colon cancer"	"SW480"	"ERP002049"	"Cancer"	"Colon"	"cancer"	"cancer"	"cancer"	"no"
"ERR701467"	"ERR701467"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701468"	"ERR701468"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701469"	"ERR701469"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701470"	"ERR701470"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701471"	"ERR701471"	"Illumina Genome Analyzer II"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701472"	"ERR701472"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701473"	"ERR701473"	"Illumina Genome Analyzer II"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701474"	"ERR701474"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701475"	"ERR701475"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701476"	"ERR701476"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701477"	"ERR701477"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701478"	"ERR701478"	"Illumina Genome Analyzer II"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"ERR701479"	"ERR701479"	"Illumina HiSeq 1500"	"macrophages"	"tumor associated macrophages"	"ERP009022"	"Immune"	"Myeloid"	"macrophages"	"monocytic.lineage"	"macrophages"	"no"
"SAMN12838786"	"SAMN12838786"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838792"	"SAMN12838792"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838794"	"SAMN12838794"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838795"	"SAMN12838795"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838797"	"SAMN12838797"	"Illumina HiSeq 4000"	"EM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838799"	"SAMN12838799"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838801"	"SAMN12838801"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838803"	"SAMN12838803"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838805"	"SAMN12838805"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838807"	"SAMN12838807"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838808"	"SAMN12838808"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838811"	"SAMN12838811"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838815"	"SAMN12838815"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838817"	"SAMN12838817"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838819"	"SAMN12838819"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838820"	"SAMN12838820"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838823"	"SAMN12838823"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838825"	"SAMN12838825"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838827"	"SAMN12838827"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838829"	"SAMN12838829"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838831"	"SAMN12838831"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838833"	"SAMN12838833"	"Illumina HiSeq 4000"	"TRM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838834"	"SAMN12838834"	"Illumina HiSeq 4000"	"naive.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
"SAMN12838835"	"SAMN12838835"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838836"	"SAMN12838836"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838837"	"SAMN12838837"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838838"	"SAMN12838838"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838840"	"SAMN12838840"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838841"	"SAMN12838841"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838844"	"SAMN12838844"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838845"	"SAMN12838845"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838846"	"SAMN12838846"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838847"	"SAMN12838847"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838848"	"SAMN12838848"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838849"	"SAMN12838849"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838850"	"SAMN12838850"	"Illumina HiSeq 4000"	"CM.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838851"	"SAMN12838851"	"Illumina HiSeq 4000"	"CM.CD4 T cells.LN"	"LN"	"PRJNA574052"	"Immune"	"CD4"	"memory.CD4.T.cells"	"CD4.T.cells"	"memory.CD4.T.cells"	"no"
"SAMN12838853"	"SAMN12838853"	"Illumina HiSeq 4000"	"naive.CD4 T cells.Lung"	"Lung"	"PRJNA574052"	"Immune"	"CD4"	"naive.CD4.T.cells"	"CD4.T.cells"	"naive.CD4.T.cells"	"no"
